,term,count,num_docs,label,subjectivity_max,subjectivity_min,subjectivity_mean
6806,gated,1,1,['neutral'],1.0,1.0,1.0
6804,gastroplus,1,1,['positive'],0.0,0.0,0.0
15108,sheldon,1,1,['neutral'],0.6678571428571429,0.6678571428571429,0.6678571428571429
15113,sheltered,1,1,['neutral'],0.2027777777777778,0.2027777777777778,0.2027777777777778
15114,shield,1,1,['positive'],0.4861111111111111,0.4861111111111111,0.4861111111111111
6796,gartner,1,1,['neutral'],0.0,0.0,0.0
6793,garland,1,1,['positive'],0.6166666666666667,0.6166666666666667,0.6166666666666667
15118,shiloh,1,1,['positive'],0.23541666666666666,0.23541666666666666,0.23541666666666666
15119,shine,1,1,['positive'],0.18,0.18,0.18
6789,gardasil,1,1,['positive'],0.39166666666666666,0.39166666666666666,0.39166666666666666
6787,gapp,1,1,['neutral'],0.0,0.0,0.0
6784,gantenerumab,1,1,['neutral'],0.375,0.375,0.375
15104,sheep,1,1,['positive'],0.35,0.35,0.35
6841,gemba,1,1,['positive'],0.6833333333333332,0.6833333333333332,0.6833333333333332
6842,gemstone,1,1,['positive'],0.2777777777777778,0.2777777777777778,0.2777777777777778
6845,genasys,1,1,['positive'],0.016666666666666666,0.016666666666666666,0.016666666666666666
6902,geologic,1,1,['neutral'],0.9333333333333332,0.9333333333333332,0.9333333333333332
15061,sga,1,1,['positive'],0.38055555555555554,0.38055555555555554,0.38055555555555554
6895,geofencing,1,1,['positive'],0.21090909090909088,0.21090909090909088,0.21090909090909088
6887,genotoxicity,1,1,['neutral'],0.0,0.0,0.0
15066,sgx,1,1,['neutral'],0.1,0.1,0.1
15067,shaanxi,1,1,['neutral'],0.5,0.5,0.5
6883,genoa,1,1,['neutral'],0.16666666666666666,0.16666666666666666,0.16666666666666666
6881,geneva,1,1,['neutral'],0.0,0.0,0.0
15069,shaded,1,1,['neutral'],0.5125,0.5125,0.5125
15070,shader,1,1,['positive'],0.35,0.35,0.35
6877,genestrat,1,1,['positive'],0.4,0.4,0.4
6874,genesco,1,1,['positive'],0.31025641025641026,0.31025641025641026,0.31025641025641026
15071,shading,1,1,['positive'],0.0,0.0,0.0
15073,shaft,1,1,['neutral'],0.44155844155844154,0.44155844155844154,0.44155844155844154
15076,shakeout,1,1,['negative'],0.5,0.5,0.5
15078,shallow,1,1,['positive'],0.4166666666666667,0.4166666666666667,0.4166666666666667
15079,sham,1,1,['neutral'],0.48333333333333334,0.48333333333333334,0.48333333333333334
6858,generalization,1,1,['positive'],0.55,0.55,0.55
6857,generalist,1,1,['neutral'],0.3,0.3,0.3
